"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"28674","genus","Acrometopa","","","","1;2;3;5","",""
"28673","species","Sepiana sepium","(Yersin, 1854)","","","1;2;3;5","",""
"28672","genus","Sepiana","","","","1;2;3;5","",""
"28671","species","Athyrium distentifolium","Opiz","","Alpine lady-fern;Горска бујадика;;Obična bujadika, alpska bujadika;;","","",""
"28670","species","Dryopteris mindshelkensis","Pavlov","","","","11","Dryopteris submontana;Dryopteris villarii subsp. submontana"
"28669","species","Dryopteris borreri","(Newman) Oberh. & Tavel","",";Зимзелена бујатка;;;;","","11","Lastrea filix-mas var. paleacea;Dryopteris filix-mas subsp. borreri;Dryopteris affinis subsp. borreri"
"28668","genus","Sarcomyxa","P. Karsten","","","","22",""
"28667","family","Sarcomyxaceae","Olariaga, Huhtinen, Læssøe, J.H. Petersen & K. Hansen","","","","22",""
"28666","species","Spodoptera littoralis","(Boisduval, 1833)","","","1;2;3;5","",""
"28665","genus","Spheridium","","","","1;2;3;5","",""
"28663","genus","Saproamanita","Redhead, Vizzini, Drehmel & Contu","","","","22",""
"28662","subspecies","Origanum vulgare viridulum","(Martrin-Donos) Nyman","","","","13","Origanum viride"
"28661","subspecies","Origanum vulgare hirtum","(Link) Ietsw.","","","","13","Origanum heracleoticum;Origanum hirtum"
"28659","subspecies","Euphrasia rostkoviana montana","(Jord.) Wettst.","",";Горски видац;;Gorski vidac;;","","",""
"28658","species","Euphrasia liburnica","Wettst.","","","","13",""
"28657","species","Euphrasia dinarica","(G. Beck) Murb.","",";;;Očanica;Dinarski vidac;","","13","Euphrasia ramosissima var. dinarica"
