Kingdom,Subkingdom,Infrakingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,"Species Complex",Subspecies,ID,Author,"Taxon data is restricted","Taxon is allochthonous","Taxon is invasive","(old) FaunaEuropea ID","FaunaEuropea ID",Stages,"Conservation Legislations","Other Conservation Documents","Red Lists","Uses Atlas Codes","Native Name - Bosanski","Native Name - English","Native Name - Croatian","Native Name - Montenegrin","Native Name - Serbian (Cyrillic)","Native Name - Serbian (Latin)","Description - Bosanski","Description - English","Description - Croatian","Description - Montenegrin","Description - Serbian (Cyrillic)","Description - Serbian (Latin)"
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Megalodontesidae,,,,Megalodontes,"Megalodontes cephalotes",,,12211,"(Fabricius, 1781)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Megalodontesidae,,,,Megalodontes,,,,12210,"Latreille, 1802",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Acantholyda,"Acantholyda pumilionis",,,12209,"(Giraud, 1861)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Acantholyda,"Acantholyda erythrocephala",,,12208,"(Linnaeus, 1758)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Acantholyda,,,,12207,"Costa, 1894",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,,,,,12206,"Cameron, 1890",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Megalodontesidae,,,,,,,,12205,"Konow, 1897",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,,,,,,,,,12204,"Cameron, 1890",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Platygastroidea,Platygastridae,Platygastrinae,,,Inostemma,"Inostemma frivaldszkyi",,,12203,"Szelenyi, 1938",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Platygastroidea,Platygastridae,Platygastrinae,,,Inostemma,,,,12202,"Haliday, 1833",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,"Parasitoid Wasps",,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Ceraphronidae,,,,Ceraphron,"Ceraphron rufigena",,,12201,"Kieffer, 1907",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Chrysidoidea,Dryinidae,,,,Aphelopus,"Aphelopus melaleucus",,,12200,"(Dalman, 1818)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Chrysidoidea,Dryinidae,,,,Aphelopus,,,,12199,"Dalman, 1823",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Ceraphronidae,,,,Ceraphron,"Ceraphron serraticornis",,,12198,"Kieffer, 1907",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Ceraphronidae,,,,Ceraphron,"Ceraphron graecus",,,12197,"Kieffer, 1907",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Ceraphronidae,,,,Ceraphron,,,,12196,"Jurine, 1807",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Ceraphronidae,,,,Aphanogmus,"Aphanogmus bicolor",,,12195,"Ashmead, 1893",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Ceraphronidae,,,,Aphanogmus,,,,12194,"Thomson, 1859",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Ceraphronidae,,,,,,,,12193,"Haliday, 1833",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Megaspilidae,,,,Megaspilus,"Megaspilus dux",,,12192,"(Curtis, 1829)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Megaspilidae,,,,Megaspilus,,,,12191,"Westwood, 1829",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Megaspilidae,,,,Conostigmus,,,,12190,"Dahlbom, 1858",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Megaspilidae,,,,Lagynodes,"Lagynodes pallidus",,,12189,"(Boheman, 1832)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Megaspilidae,,,,Lagynodes,,,,12188,"Foerster, 1840",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Ceraphronoidea,Megaspilidae,,,,,,,,12187,,No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
